place_id,place_name,poi_id,town,category,review_count,selected_review_count,cultural_recognition,integration_judgement,entity_count,entity_id,name,entity_type,label,place_count,evidence_examples
place:B0FFG2CLW7,一线天,B0FFG2CLW7,西樵镇,自然景观,1,1,未形成,评论仅表达社交游玩意图，未提及任何地方文化实体或具体体验内容。,0,,,,,,
place:B02F50YS3U,三山森林公园,B02F50YS3U,桂城街道,公园绿地,10,10,未形成,游客评论主要聚焦于自然生态、休闲运动及高铁景观拍摄，未识别出任何与南海地方文化、历史人物、非遗民俗或岭南生活方式相关的文化实体，文旅融合在文化内容层面尚未显现。,2,,,,,,
place:B0FFIFHDRB,三山花海乐田,B0FFIFHDRB,桂城街道,自然景观,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间、历史或岭南地方性文化的具体描述与体验反馈，无法体现文旅融合内容。,0,,,,,,
place:B0FFFAMBP4,东王府,B0FFFAMBP4,大沥镇,人文古迹,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间细节、历史记忆或岭南地方性的任何实质性描述，无法体现文旅融合内容。,0,,,,,,
place:B02F503R4G,中央电视台南海影视城,B02F503R4G,狮山镇,自然景观,184,16,中识别,游客对明清民国仿古建筑群及特定影视剧历史背景有明确认知，但体验多停留在视觉打卡和表演观看层面，缺乏对深层地域文化或真实历史记忆的主动挖掘。,12,,,,,,
place:B02F507872,中心广场(玉器街),B02F507872,桂城街道,特色街区,10,10,未形成,评论文本严重错位，实际描述的是东莞中心广场的行政与现代建筑景观，完全未提及佛山南海桂城玉器街的任何玉石文化、工艺或地方性内容，文旅融合在评论层面未发生。,3,,,,,,
place:B02F508KA7,九江双蒸博物馆,B02F508KA7,九江镇,文化场馆,10,10,中识别,游客对米酒历史文化和酿造工艺有明确认知，但体验重心偏向亲子游乐、美食品尝和商业消费，文化深度挖掘与沉浸式非遗体验尚显不足。,8,,,,,,
place:B0FFH989SN,九江镇望海观音寺(不对外开放),B0FFH989SN,九江镇,宗教场所,1,1,未形成,评论仅复述地点名称，未包含任何文化实体描述或游客体验内容，无法体现文旅融合状态。,0,,,,,,
place:B0L65SO443,九龙Park欢乐世界,B0L65SO443,大沥镇,体育设施,1,1,未形成,评论仅包含地点名称，缺乏任何文化实体描述或体验细节，无法体现文旅融合内容。,0,,,,,,
place:B0FFG2ERMT,九龙公园,B0FFG2ERMT,里水镇,公园绿地,1,1,未形成,评论仅提及地点名称，未包含任何具体文化实体、历史记忆或地方性体验描述，无法体现文旅融合内容。,0,,,,,,
place:B0HDDK8M6O,九龙岩,B0HDDK8M6O,西樵镇,自然景观,5,5,弱识别,游客主要关注自然地貌与徒步体验，虽提及历史人物讲学遗址但仅作为背景路过，未形成深度的文化认知或互动体验。,4,,,,,,
place:B0JBS5S8NS,从一蓝莓采摘园(南海白塔店),B0JBS5S8NS,里水镇,休闲娱乐,1,1,未形成,评论仅包含地点名称复述，未涉及任何人物、非遗、空间、历史或岭南地方性文化内容，无法体现文旅融合。,0,,,,,,
place:B0FFGM4O2F,仙湖度假区,B0FFGM4O2F,狮山镇,自然景观,10,10,未形成,评论主要聚焦于自然景观、酒店住宿和休闲设施，未识别到任何特定的人物、非遗、历史记忆或岭南地方性文化实体，文旅融合在文化内容层面尚未体现。,2,,,,,,
place:B0KR3U1J41,佛山千灯湖音乐秀场,B0KR3U1J41,桂城街道,休闲娱乐,1,1,未形成,评论仅提及地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体，无法体现文旅融合内容。,0,,,,,,
place:B0JGYHX5I0,佛山市岭南金融博物馆(新馆),B0JGYHX5I0,桂城街道,文化场馆,16,16,中识别,游客对博物馆的展陈内容和历史脉络有明确认知，但评论多侧重于通用金融史或误植广州信息，对南海本地特有的金融文化记忆挖掘不足，融合深度有待提升。,10,,,,,,
place:B0FFF0FDHE,佛山植物园,B0FFF0FDHE,狮山镇,公园绿地,11,11,未形成,评论主要聚焦于植物品种科普、自然景观观赏及休闲健身功能，缺乏对岭南地域文化、历史记忆或非遗民俗的深度识别与体验，尚未体现文旅融合特征。,3,,,,,,
place:B0KRMZRLQY,佛山活体昆虫博物馆,B0KRMZRLQY,西樵镇,文化场馆,1,1,未形成,评论仅提及地点名称，未包含任何人物、非遗、历史记忆或岭南地方性文化内容，无法体现文旅融合特征。,0,,,,,,
place:B0FFGLP8I8,假日广场,B0FFGLP8I8,里水镇,公园绿地,1,1,未形成,评论仅提及地点名称，未包含任何文化实体描述或体验细节，无法体现文旅融合特征。,0,,,,,,
place:B02F506TYO,千灯湖,B02F506TYO,桂城街道,自然景观,10,10,中识别,评论主要聚焦于现代城市景观与休闲功能，虽提及岭南金融博物馆、大观博物馆及粤式茶点等文化载体，但缺乏对具体历史人物、非遗活动或深层地方记忆的实质性体验描述，文旅融合尚处于空间共存阶段。,12,,,,,,
place:B02F506TYO,千灯湖公园,B02F506TYO,桂城街道,公园绿地,75,16,弱识别,评论主要聚焦于现代城市景观、灯光秀表演及休闲功能，缺乏对南海本土历史文脉、非遗民俗或传统岭南生活方式的深度感知与识别。,5,,,,,,
place:B0HRVR1I92,千灯湖公园-南区,B0HRVR1I92,桂城街道,公园绿地,2,2,弱识别,评论主要聚焦自然景观与休闲设施，虽提及书画展、音乐会等活动及读书驿站，但缺乏对岭南地域特色或具体文化实体的深度感知，文旅融合尚处于活动叠加阶段。,3,,,,,,
place:B0FFIUK5ZQ,千灯湖公园北区,B0FFIUK5ZQ,桂城街道,公园绿地,10,10,弱识别,评论主要聚焦于自然景观、休闲设施和光影效果，虽提及岭南文化概念和博物馆存在，但缺乏对具体文化实体（如人物、非遗、历史事件）的深度体验或认知，文旅融合尚处于景观依附阶段。,6,,,,,,
place:9c67c9031c96,千灯湖创投特色小镇,,桂城街道,特色街区,4,4,未形成,评论主要聚焦现代金融产业定位、办公环境及灯光景观体验，缺乏对南海地方历史、非遗民俗或岭南传统文脉的实质性识别与融合。,3,,,,,,
place:B02F50UZCU,华南师范大学(佛山校区南海校园)图书馆,B02F50UZCU,狮山镇,文化场馆,1,1,未形成,评论文本仅提及地点名称且存在校区混淆，未包含任何具体的地方文化实体、非遗民俗或历史记忆内容，无法体现文旅融合特征。,0,,,,,,
place:B0FFG4B8C9,南国桃园,B0FFG4B8C9,大沥镇,自然景观,13,13,中识别,评论主要聚焦于桃花自然景观与休闲功能，虽提及南海观音寺、影视城等文化空间及岭南风情描述，但缺乏对具体历史人物、非遗活动或深层地方记忆的实质性体验与认知，文化元素多作为背景存在。,7,,,,,,
place:B0FFF3NK66,南海博物馆,B0FFF3NK66,西樵镇,文化场馆,6,6,中识别,游客能识别博物馆作为历史与非遗的展示空间及特定人物（石景宜），但评论多停留在宏观概念或设施服务层面，缺乏对具体文化内容（如具体历史事件、非遗项目细节）的深度体验描述。,8,,,,,,
place:B02F50YH2H,南海湾森林生态园,B02F50YH2H,西樵镇,自然景观,199,16,中识别,评论主要聚焦于自然山水与户外体验，对庆云洞道教文化及古建筑有明确提及但多作为景观背景，缺乏对深层历史记忆或非遗活动的深度互动，文旅融合处于‘景中带文’的初级阶段。,9,,,,,,
place:B02F503PVG,南海湿地主题公园,B02F503PVG,狮山镇,自然景观,20,16,弱识别,评论主要聚焦于自然生态、机动游戏和烧烤等休闲体验，仅有一处提及毛利土著文化表演，缺乏对佛山南海本土历史、非遗或岭南地方性的有效识别，文旅融合尚处于浅层娱乐阶段。,2,,,,,,
place:a4bf812bb343,南海湿地公园,,丹灶镇,公园绿地,10,10,未形成,评论主要聚焦于自然生态景观、亲子游乐设施及休闲功能，完全缺失对南海区地方文化、历史人物、非遗民俗或岭南生活方式的识别与体验。,3,,,,,,
place:B0FFH42HYC,南海神庙,B0FFH42HYC,狮山镇,宗教场所,10,10,高识别,评论高度聚焦于海神信仰、碑刻历史、建筑形制及波罗诞非遗活动，展现出深厚的历史记忆与活态民俗的深度融合，但部分评论存在将广州黄埔地理信息误植于佛山南海 POI 的现象。,18,,,,,,
place:B02F5076HS,南海科学馆,B02F5076HS,桂城街道,文化场馆,1,1,未形成,评论仅提及地点名称，缺乏对具体文化实体、展陈内容或地方性体验的描述，无法体现文旅融合特征。,0,,,,,,
place:B0FFH22EBA,南海花卉博览园,B0FFH22EBA,里水镇,公园绿地,2,2,未形成,评论仅聚焦于植物品种观赏与个人游玩体验，未识别到任何地方文化实体或岭南文化特征。,2,,,,,,
place:B0FFG0YUHE,南海观音寺,B0FFG0YUHE,大沥镇,宗教场所,11,11,中识别,游客对宗教信俗和建筑空间有明确认知，但部分评论混淆了地理位置（西樵山），且存在商业消费干扰文化体验的现象，文旅融合深度有待提升。,8,,,,,,
place:B0LA2ULNM1,南海鹿尔花园,B0LA2ULNM1,大沥镇,休闲娱乐,9,9,未形成,评论仅聚焦于门票价格、停车便利性、游乐设施及亲子休闲体验，完全未涉及任何地方文化实体或岭南文化特征，属于纯商业休闲娱乐场景。,3,,,,,,
place:B0FFLEX7DN,叠滘水乡,B0FFLEX7DN,桂城街道,人文古迹,3,3,中识别,评论高度聚焦于龙舟漂移这一核心非遗民俗，并延伸至文创产品与河道空间体验，但部分描述偏向通用景观与商业氛围，地方深层历史记忆与人物谱系提及较少。,7,,,,,,
place:B02F50UTH5,叶问宗师馆,B02F50UTH5,狮山镇,人文古迹,10,10,高识别,游客评论高度聚焦于叶问人物生平与咏春拳文化，通过影视记忆转化为实地文化认知，并有效关联了祖屋建筑空间与岭南地域特色，显示出较强的人物 - 非遗 - 空间融合特征。,8,,,,,,
place:B02F50WIZD,同庆坊,B02F50WIZD,桂城街道,人文古迹,1,1,未形成,评论仅提及地点名称，未包含任何文化实体描述或具体体验内容，无法体现文旅融合状态。,0,,,,,,
place:B0FFFV3BG0,听音广场,B0FFFV3BG0,西樵镇,公园绿地,10,10,弱识别,评论主要聚焦于夜景、人工瀑布及音乐表演等休闲体验，虽提及西樵山历史名人背景，但未在听音广场本体形成具体的文化实体感知或深度文旅融合体验。,8,,,,,,
place:37ad4e63c7e0,听音湖,,西樵镇,自然景观,11,11,中识别,评论主要聚焦于自然景观、灯光秀及现代商业休闲体验，虽提及西樵山历史名人背景及岭南建筑元素，但游客对具体地方文化实体的深度认知与互动较少，文旅融合尚处于景观依托型阶段。,11,,,,,,
place:B0FFG4RUQU,吴家大院,B0FFG4RUQU,九江镇,人文古迹,10,10,高识别,评论高度聚焦于清末华侨建筑、家族记忆及博物馆展陈，游客能清晰识别侨乡文化内核与历史空间价值，但部分评论仍停留在服务吐槽或泛泛而谈的景观层面。,11,,,,,,
place:B0FFH3XV4E,周氏大宗祠,B0FFH3XV4E,大沥镇,人文古迹,2,2,未形成,评论仅重复地点名称，缺乏对宗祠建筑、家族历史或民俗活动的具体描述，未体现任何实质性的文化识别与文旅融合内容。,0,,,,,,
place:B0FFG279L5,坐看云起,B0FFG279L5,西樵镇,自然景观,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间、历史或地方性文化的具体描述与体验反馈，无法体现文旅融合内容。,0,,,,,,
place:B0FFG24UH1,基督教盐步堂,B0FFG24UH1,大沥镇,宗教场所,6,6,弱识别,评论主要聚焦于建筑外观的独特性（小提琴造型）和摄影打卡功能，缺乏对宗教文化内涵、历史记忆或地方民俗的深度认知与体验。,3,,,,,,
place:B0H0J7XPQC,夏漖粮园·喜文化创意基地,B0H0J7XPQC,桂城街道,特色街区,10,10,中识别,评论高度聚焦于工业遗产空间改造后的视觉景观与商业艺术展览体验，对岭南水乡地域背景有明确提及，但缺乏对粮仓历史记忆、非遗民俗或深层地方文化内容的实质性感知。,7,,,,,,
place:B0IRYUBYVX,多元宝贝世界(龙汇店),B0IRYUBYVX,大沥镇,休闲娱乐,1,1,未形成,评论仅包含地点名称，缺乏任何关于地方文化实体、非遗民俗或历史记忆的实质性描述，无法体现文旅融合特征。,0,,,,,,
place:B0JKBCNVVK,大板牙主题乐园,B0JKBCNVVK,桂城街道,休闲娱乐,1,1,未形成,评论仅提及地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体，无法体现文旅融合内容。,0,,,,,,
place:B02F507JSS,大沥公园,B02F507JSS,大沥镇,公园绿地,4,4,中识别,评论明确提及革命纪念碑与文化中心设施，显示历史记忆与公共文化空间被游客识别，但缺乏对文化内涵的深度体验描述。,0,,,,,,
place:B0FFIR4D6W,大观博物馆,B0FFIR4D6W,桂城街道,文化场馆,10,10,中识别,评论高度聚焦于青铜镜等特定文物门类的展陈价值与历史内涵，体现了较强的文化认知体验，但缺乏对南海本土在地文化（如岭南民俗、广府生活）的深度关联，主要呈现为通用型古代艺术鉴赏。,7,,,,,,
place:B0H62CZH3V,天后宫,B0H62CZH3V,丹灶镇,宗教场所,1,1,未形成,评论仅提及地点名称，缺乏对信俗、建筑或历史的具体描述，未体现文旅融合内容。,0,,,,,,
place:B0FFHJ45NL,天湖公园,B0FFHJ45NL,西樵镇,公园绿地,14,14,中识别,评论显示该地通过举办黄飞鸿杯醒狮赛事形成了特定的文化体验节点，但大部分游客认知仍停留在自然景观和休闲功能层面，文化内容呈现活动化、节点化特征，尚未完全融入日常游览的核心叙事。,7,,,,,,
place:B0FFF4FNIM,孝德湖公园,B0FFF4FNIM,狮山镇,公园绿地,6,6,中识别,评论明确识别到以'孝德'为核心的主题文化空间及叶问人物元素，但部分游客仅关注自然景观或噪音问题，文化体验深度不一。,7,,,,,,
place:B0K2XZ9QGF,少林寺,B0K2XZ9QGF,西樵镇,宗教场所,1,1,未形成,评论仅包含地点名称，缺乏对人物、非遗、空间内涵或历史记忆的具体描述，无法体现文旅融合内容。,0,,,,,,
place:B0FFKUREHD,展旗峰生态公园,B0FFKUREHD,里水镇,公园绿地,10,10,中识别,评论明确识别了楼内关于里水民俗、状元姚大宁及舞狮龙舟的展陈内容，同时存在大量基于古风建筑风格的汉服打卡体验，但部分游客仅关注自然景观与停车便利性，文化深度感知在样本中分布不均。,9,,,,,,
place:B0G3HL6JFL,展旗楼,B0G3HL6JFL,里水镇,人文古迹,1,1,未形成,评论仅提及地点名称，缺乏对人物、非遗、历史或地方性文化的具体描述与体验反馈，无法体现文旅融合内容。,0,,,,,,
place:B02F50XHK7,市民广场,B02F50XHK7,狮山镇,公园绿地,1,1,未形成,评论仅聚焦于自然景观、休闲设施与周边商业配套，未识别到任何地方文化实体或岭南特色内容。,2,,,,,,
place:B0FFG63FJW,广东南海金沙岛国家湿地公园,B0FFG63FJW,丹灶镇,公园绿地,1,1,未形成,评论仅复述地点名称，未包含任何人物、非遗、空间、历史或地方性文化实体的具体描述与体验。,0,,,,,,
place:B0JRKMVGXF,广东省非物质文化遗产佛山咏春拳东二义咏堂,B0JRKMVGXF,桂城街道,非遗体验,1,1,未形成,评论仅复述地点名称作为标题或标签，缺乏游客对文化内容、体验过程或历史背景的实际描述，无法构成有效的文旅融合语义识别。,0,,,,,,
place:B02F5076NF,庆云洞,B02F5076NF,西樵镇,自然景观,9,9,中识别,评论对庆云洞的历史沿革（光绪始建、抗战指挥部）和宗教属性（道观、殿宇）有明确文本提及，但多数游客体验仍聚焦于自然山水、徒步健身及票价争议，文化内容多作为背景知识存在，尚未完全转化为深度的文化体验核心。,19,,,,,,
place:B0FFIVH0A1,康有为博物馆,B0FFIVH0A1,丹灶镇,文化场馆,1,1,未形成,评论仅提及地点名称，缺乏对人物、历史或文化内容的具体描述，无法体现文旅融合状态。,0,,,,,,
place:B02F5076XZ,康有为故居(东南门),B02F5076XZ,丹灶镇,人文古迹,21,16,高识别,游客评论高度聚焦于康有为人物生平、维新历史记忆及岭南建筑空间，但部分评论指出故居本体封闭、展陈与服务脱节，显示文化资源虽被清晰识别，但文旅融合的体验完整性仍有提升空间。,15,,,,,,
place:B02F508PZ5,怡海公园,B02F508PZ5,桂城街道,公园绿地,3,3,未形成,评论主要聚焦于休闲健身、自然景观及基础设施，未识别到任何具体的地方文化实体或历史内涵，文旅融合在文化内容层面尚未显现。,2,,,,,,
place:B0G23ABBRG,摩天轮,B0G23ABBRG,丹灶镇,休闲娱乐,1,1,未形成,评论仅提及设施名称，未包含任何人物、非遗、空间、历史或地方性文化内容，无法体现文旅融合。,0,,,,,,
place:B0LD3SFR5N,敦根水上龙舟乐园,B0LD3SFR5N,丹灶镇,非遗体验,1,1,中识别,评论明确提及非遗项目概念并体验了划龙舟活动，但缺乏对具体民俗细节、历史背景或文化空间的深度描述，停留在浅层体验与标签化认知阶段。,3,,,,,,
place:B0FFGI15WQ,文翰湖公园,B0FFGI15WQ,桂城街道,公园绿地,9,9,未形成,评论主要聚焦于现代城市公园的休闲设施、自然景观和便民服务，未识别出任何与南海地方文化、历史记忆或非遗民俗相关的实体内容。,3,,,,,,
place:B0JRRYOSNV,星沐森林·昆虫自然博物馆,B0JRRYOSNV,桂城街道,文化场馆,3,3,未形成,评论主要聚焦于亲子科普、动物互动体验及票价信息，未识别到任何地方文化实体或岭南地域特色，属于通用型自然教育场馆体验。,2,,,,,,
place:B02F50WJ4R,映月湖公园,B02F50WJ4R,桂城街道,公园绿地,10,10,弱识别,评论主要聚焦于现代城市景观、月亮主题设计及节庆灯会活动，缺乏对南海本土历史人物、非遗民俗或深层地方记忆的实质性识别，文旅融合尚处于景观休闲层面。,2,,,,,,
place:B0FFHHJ5YR,枫林白塔,B0FFHHJ5YR,西樵镇,自然景观,1,1,未形成,评论仅陈述地理位置归属，未涉及任何人物、非遗、历史记忆或岭南地方性文化内容，缺乏文旅融合的文化识别要素。,0,,,,,,
place:B02F5079WX,桂城儿童公园,B02F5079WX,桂城街道,公园绿地,6,6,未形成,评论仅聚焦于亲子游乐设施、绿化环境及交通状况，完全未涉及任何地方文化实体或岭南地域特征，属于纯功能性休闲空间评价。,2,,,,,,
place:B0HKCS5YZI,桂花岛,B0HKCS5YZI,桂城街道,自然景观,1,1,未形成,评论仅聚焦于票价、时长和天气等基础游览体验，未识别到任何地方文化实体或文旅融合内容。,1,,,,,,
place:B0FFIWPSPF,桃花湖,B0FFIWPSPF,大沥镇,自然景观,10,10,未形成,评论主要聚焦于喀斯特地貌、湖光山色等自然景观及民宿住宿体验，缺乏对南海区地方文化实体（如人物、非遗、历史记忆等）的有效识别，且存在大量关于清远桃花湖的异地评论干扰，未体现文旅融合特征。,3,,,,,,
place:B0LGTX12VB,梁氏大宗祠,B0LGTX12VB,里水镇,人文古迹,1,1,高识别,游客明确识别了宗族姓氏文化、古建筑历史年代及修缮历程，体现了对地方家族记忆与文化空间的深度认知。,4,,,,,,
place:B0FFJ2UYP8,梦里水乡景区,B0FFJ2UYP8,里水镇,自然景观,2,2,弱识别,评论主要聚焦于夜间娱乐活动和自然景观体验，未提及具体的地方文化实体或岭南地域特征，文旅融合停留在通用休闲层面。,4,,,,,,
place:B0FFHF702W,梦里水乡百花园,B0FFHF702W,里水镇,公园绿地,13,13,弱识别,评论主要聚焦于花卉景观、亲子游乐设施及交通服务，虽有一条评论提及‘岭南水乡风情’和‘历史典故’等概念，但多为宣传性复述或背景提及，游客实际体验中未形成对具体地方文化实体（如特定人物、非遗项目、古迹）的深度感知与互动。,4,,,,,,
place:B0HUVZ29A5,樵山文化中心A区,B0HUVZ29A5,西樵镇,文化场馆,1,1,未形成,评论仅提及具体活动行为，未涉及任何地方文化实体、历史背景或岭南特色，无法体现文旅融合内容。,1,,,,,,
place:B0HUVZ2GKT,樵山文化中心C区,B0HUVZ2GKT,西樵镇,文化场馆,1,1,未形成,评论仅包含地点名称复述，未涉及任何具体文化实体、体验内容或地方性认知，无法体现文旅融合状态。,0,,,,,,
place:B0FFIJSJRK,欢乐沙滩,B0FFIJSJRK,丹灶镇,自然景观,1,1,未形成,评论仅包含地点名称，缺乏任何文化实体描述或体验细节，无法体现文旅融合特征。,0,,,,,,
place:B0FFL92KWP,水月宫,B0FFL92KWP,里水镇,宗教场所,3,3,未形成,评论文本主要复制了肇庆星湖的通用百科介绍或攻略，未包含游客对佛山南海里水镇水月宫的真实实地体验与文化识别，且地点匹配存在明显错误（将肇庆景点误植为南海 POI），导致无法提取有效的在地文化实体。,0,,,,,,
place:B02F50UENU,沙溪公园,B02F50UENU,里水镇,公园绿地,1,1,未形成,评论仅聚焦于自然生态景观与休闲健身功能，未识别到任何地方文化实体或非遗民俗内容，属于纯公共绿地休闲体验。,2,,,,,,
place:B02F50WYWN,海寿岛,B02F50WYWN,九江镇,自然景观,3,3,中识别,评论清晰识别了移民历史记忆与独特的渔农生活方式，但缺乏对具体非遗项目、历史人物或实体文化空间的深度体验描述，融合停留在生活风貌感知层面。,5,,,,,,
place:B0FFJYGJTV,烟桥古村,B0FFJYGJTV,九江镇,人文古迹,9,9,高识别,游客评论高度聚焦于村落的历史沿革、明清建筑遗存及岭南水乡意境，显示出强烈的文化内容识别，但体验多停留在静态参观与怀旧层面，深度互动性描述较少。,11,,,,,,
place:B0FFH49S2C,玉虚宫,B0FFH49S2C,里水镇,宗教场所,10,10,中识别,游客能识别其作为明清古建筑和道教场所的历史价值及建筑细节，但评论多侧重于地理位置描述、城中村改造背景对比及一般性怀古感叹，缺乏对具体历史事件、人物谱系或深度民俗活动的实质性文化体验描述。,8,,,,,,
place:B02F5076NL,璜矶鹭鸟天堂,B02F5076NL,九江镇,自然景观,4,4,未形成,评论仅聚焦于自然生态景观与餐饮配套，完全缺失对九江镇水乡文化、鹭鸟保护历史或地方民俗的识别，文旅融合尚未在游客认知层面发生。,2,,,,,,
place:65433cbd5b5c,畅乐水上乐园,,狮山镇,休闲娱乐,8,8,未形成,评论完全聚焦于亲子娱乐、票价性价比及设施体验，未涉及任何地方文化实体或岭南文化内容，属于纯商业休闲消费场景。,3,,,,,,
place:B0FFGB50JA,盐步老龙,B0FFGB50JA,大沥镇,自然景观,1,1,高识别,评论明确将地点识别为岭南水乡文化空间，并高度关联龙舟非遗民俗与端午节庆活动，体现了自然景观向文化体验的有效转化。,4,,,,,,
place:B0J1F79OGZ,瞧溪谷西樵山亲水溪谷,B0J1F79OGZ,西樵镇,自然景观,10,10,未形成,评论仅聚焦于水上娱乐、亲子互动及露营烧烤等通用休闲体验，完全未涉及西樵山或南海区的任何地方文化实体、历史记忆或岭南特色，文旅融合在评论内容中尚未显现。,3,,,,,,
place:B0FFF365DR,碧玉洞,B0FFF365DR,西樵镇,自然景观,10,10,中识别,评论中存在对历史人物、典故及地方产业起源的明确文本提及，但多为背景介绍或碎片化引用，大部分游客体验仍集中在自然景观与避暑功能，文化内容尚未完全转化为深度体验核心。,20,,,,,,
place:B0H1KD15OJ,碰碰车,B0H1KD15OJ,丹灶镇,休闲娱乐,5,5,未形成,评论仅聚焦于游乐设施的趣味性和亲子体验，完全未涉及任何地方文化实体或岭南地域特征。,2,,,,,,
place:B02F505476,礌岗公园(北门),B02F505476,桂城街道,公园绿地,10,10,中识别,评论主要聚焦于魁星阁作为岭南风格地标及内部展览带来的文化认知体验，但缺乏对具体历史人物、非遗活动或深层历史记忆的实质性提及，文旅融合停留在景观符号与基础展陈层面。,6,,,,,,
place:B02F50YCH3,罗村中心广场,B02F50YCH3,狮山镇,公园绿地,4,4,未形成,评论仅体现普通市民休闲健身与景观打卡功能，完全缺失对地方文化实体（如人物、非遗、历史空间等）的识别与体验。,2,,,,,,
place:4a82536b0c4b,翠岩,,西樵镇,自然景观,10,10,中识别,评论主要聚焦自然景观体验，仅个别长评通过背景叙述提及历史人物与建筑，游客自身并未在游览过程中产生深度的文化互动或认知。,12,,,,,,
place:B0FFI30V9U,翰林湖农业公园,B0FFI30V9U,狮山镇,公园绿地,10,10,弱识别,评论主要聚焦于花卉景观、网红打卡和摄影体验，虽提及‘耕读田园’主题及‘沙水古村’地名，但缺乏对地方文化实体（如人物、非遗、历史记忆）的实质性感知与互动，文旅融合尚处于景观观光层面。,4,,,,,,
place:B0FFG27DFD,蝴蝶谷,B0FFG27DFD,西樵镇,自然景观,11,11,未形成,评论主要聚焦于自然生态景观、游船交通体验及网红打卡属性，虽提及孙中山等名人足迹但属于背景介绍而非游客实地文化感知，缺乏对岭南地域文化、非遗或历史记忆的实质性识别与互动。,5,,,,,,
place:B02F50WJ53,西华寺,B02F50WJ53,里水镇,宗教场所,1,1,未形成,评论仅包含地点名称，缺乏对宗教文化、建筑特色或历史背景的任何描述，无法体现文旅融合内容。,0,,,,,,
place:B0G1DAE4LO,西樵山国家地质公园,B0G1DAE4LO,西樵镇,自然景观,6,6,未形成,评论主要聚焦于自然景观、登山体力消耗及交通票价等基础旅游要素，完全缺失对西樵山特有的理学文化、宗教文化或历史人物等地方文化内容的识别。,2,,,,,,
place:B0FFFOVW3H,西樵山国艺影视城,B0FFFOVW3H,西樵镇,休闲娱乐,54,16,中识别,游客主要将地点视为仿古建筑群和摄影背景板，对民国、明清等历史风貌有场景化认知，但缺乏对具体岭南在地文化人物、非遗技艺或真实历史事件的深度识别，文旅融合停留在视觉景观层面。,10,,,,,,
place:B02F50YSSQ,西樵山宝峰寺,B02F50YSSQ,西樵镇,宗教场所,2,2,中识别,评论中存在对明代历史背景和南粤名寺地位的事实性陈述，但缺乏游客个人的深度文化体验或情感共鸣，另一条评论仅泛谈风情而无具体文化实体。,3,,,,,,
place:a2aade71686b,西樵山宝峰寺-观景平台,,西樵镇,宗教场所,1,1,未形成,评论仅包含地点名称，缺乏任何关于文化实体、体验活动或地方性内容的描述，无法体现文旅融合状态。,0,,,,,,
place:B0J2B1UNZC,西樵山森吧飞越树上探险乐园,B0J2B1UNZC,西樵镇,休闲娱乐,10,10,弱识别,评论主要聚焦于体能挑战、亲子娱乐及设施服务，虽提及西樵山整体背景中的观音文化苑，但针对本 POI（探险乐园）并未产生具体的地方文化实体识别，文旅融合仅体现为地理空间上的依附而非内容融合。,4,,,,,,
place:B02F5076F0,西樵山风景名胜区,B02F5076F0,西樵镇,自然景观,101,16,高识别,评论中高频提及黄飞鸿、醒狮、南海观音、四方竹传说及石器文化，显示游客对人物、非遗、宗教空间及地方历史记忆有明确感知，但部分体验仍停留在景观打卡或商业消费层面。,13,,,,,,
place:B0FFHJ45NL,西樵山风景名胜区-天湖公园,B0FFHJ45NL,西樵镇,公园绿地,11,11,中识别,评论中对地方文化有明确的文本提及（如康有为、黄飞鸿、半山扒龙船民俗），但多表现为背景知识介绍或设施命名，游客实际体验描述侧重于自然风光和休闲功能，文化内容与深度体验的融合度尚浅。,18,,,,,,
place:B0FFG2AME7,西樵山风景名胜区-观音庙,B0FFG2AME7,西樵镇,宗教场所,1,1,未形成,评论仅包含地点名称，缺乏对宗教文化、建筑空间或信仰体验的具体描述，无法识别文旅融合内容。,0,,,,,,
place:e6f071d16f6e,西樵香云纱丝绸博物馆,,西樵镇,文化场馆,1,1,未形成,评论仅复述地点名称，未包含任何具体的文化实体描述、体验过程或情感评价，无法体现文旅融合状态。,0,,,,,,
place:B0FFKJD696,西樵黄大仙祠,B0FFKJD696,西樵镇,人文古迹,24,16,中识别,评论高度聚焦于宗教人物（黄大仙）与器物（金像、聚宝盆）的物质属性及灵验传说，但缺乏对道教历史脉络、建筑规制或岭南信俗深层内涵的解读，呈现为以祈福和打卡为主的浅层文化消费。,11,,,,,,
