source,target,relation,weight
云泉仙馆,西樵镇,位于,1.5
康有为故居,丹灶镇,位于,1.5
崔氏大宗祠,九江镇,位于,1.5
九江双蒸酒酿制技艺,九江镇,位于,1.5
金箔锻造技艺,狮山镇,位于,1.5
九江煎堆制作技艺,九江镇,位于,1.5
西樵传统缫丝技艺,西樵镇,位于,1.5
南海竹编,西樵镇,位于,1.5
西樵大饼制作技艺,西樵镇,位于,1.5
香云纱（坯纱）织造技艺,西樵镇,位于,1.5
广式家具制作技艺,桂城街道,位于,1.5
"平洲传统玉器
制作技艺",桂城街道,位于,1.5
唢呐制作技艺,桂城街道,位于,1.5
佛鹤狮头制作,狮山镇,位于,1.5
里水毛巾织造技艺,里水镇,位于,1.5
南海醒狮（采青技艺）,西樵镇,位于,1.5
花灯制作技艺,狮山镇,位于,1.5
南海广式旺阁酱油酿造技艺,西樵镇,位于,1.5
庙会（大仙诞庙会）,西樵镇,位于,1.5
龙舟说唱（南海）,丹灶镇,位于,1.5
烧番塔(松塘),西樵镇,位于,1.5
南海农谚,西樵镇,位于,1.5
西樵山传说,西樵镇,位于,1.5
简村北帝庙会,西樵镇,位于,1.5
松塘村孔子诞,西樵镇,位于,1.5
松塘村“出色”巡游,西樵镇,位于,1.5
大头佛（民乐大头佛）,西樵镇,位于,1.5
西樵白眉武术,西樵镇,位于,1.5
赤坎盲公话,丹灶镇,位于,1.5
西联村神诞,丹灶镇,位于,1.5
传统龙舟（丹灶扒龙舟）,丹灶镇,位于,1.5
丹灶葛洪炼丹传说,丹灶镇,位于,1.5
烧番塔(仙岗),丹灶镇,位于,1.5
大头佛,九江镇,位于,1.5
赛龙舟（九江传统龙舟）,九江镇,位于,1.5
九江灯谜,九江镇,位于,1.5
九江传统鱼花技艺,九江镇,位于,1.5
周家拳,九江镇,位于,1.5
华岳心意六合八法拳,九江镇,位于,1.5
仙岗村古井(蟹泉仙井),丹灶镇,位于,1.5
西城圩市建筑群,丹灶镇,位于,1.5
大岗民居,丹灶镇,位于,1.5
苏州银河,丹灶镇,位于,1.5
塱心码头,西樵镇,位于,1.5
松塘月池及古祠堂群,西樵镇,位于,1.5
民乐圩市建筑群/民乐窦,西樵镇,位于,1.5
西樵山天湖,西樵镇,位于,1.5
禄舟村古街巷,西樵镇,位于,1.5
金花庙,西樵镇,位于,1.5
渔耕粤韵桑基鱼塘,西樵镇,位于,1.5
朝山红楼,西樵镇,位于,1.5
烟桥村古桥,九江镇,位于,1.5
风水百足桥,九江镇,位于,1.5
河清码头,九江镇,位于,1.5
红棉公园民国建筑群,九江镇,位于,1.5
岑局楼,九江镇,位于,1.5
中西郑家大院,九江镇,位于,1.5
平沙岛,西樵镇,位于,1.5
西樵镇,西樵镇,位于,1.5
恒德徐公祠,祖盛徐公祠,对应景点,2.0
大谷市,大谷天后宫,对应景点,2.0
佛子庙镇头遗址,宝莲寺,对应景点,2.0
佛鹤狮头制作,石碣朗枝岗健身公园,对应景点,2.0
松塘汇川家塾,迎宾广场,对应景点,2.0
松塘见五大夫祠,迎宾广场,对应景点,2.0
区梦觉故居,迎宾广场,对应景点,2.0
松塘太史第,迎宾广场,对应景点,2.0
松塘六世祖祠,迎宾广场,对应景点,2.0
松塘区氏宗祠,迎宾广场,对应景点,2.0
松塘司马第,迎宾广场,对应景点,2.0
沙基圩,迎宾广场,对应景点,2.0
松塘村“出色”巡游,迎宾广场,对应景点,2.0
松塘村孔子诞,迎宾广场,对应景点,2.0
松塘翘秀园,迎宾广场,对应景点,2.0
松塘甘井,迎宾广场,对应景点,2.0
松塘培元书舍,迎宾广场,对应景点,2.0
松塘塘西六世祖祠,迎宾广场,对应景点,2.0
西樵传统缫丝技艺,河滨公园,对应景点,2.0
奎光楼,西樵山风景名胜区-樵园公园,对应景点,2.0
白云古寺,西樵山风景名胜区-樵园公园,对应景点,2.0
白云洞摩崖石刻,西樵山风景名胜区-樵园公园,对应景点,2.0
字祖庙,西樵山风景名胜区-樵园公园,对应景点,2.0
第弌洞天牌坊,西樵山风景名胜区-樵园公园,对应景点,2.0
湖山胜迹门楼,西樵山风景名胜区-樵园公园,对应景点,2.0
象林塔,西樵山风景名胜区-樵园公园,对应景点,2.0
云泉仙馆,西樵山风景名胜区-樵园公园,对应景点,2.0
小云亭,西樵山风景名胜区-樵园公园,对应景点,2.0
枕流亭,西樵山风景名胜区-樵园公园,对应景点,2.0
白云洞摩崖石刻,茶花园,对应景点,2.0
第弌洞天牌坊,茶花园,对应景点,2.0
字祖庙,茶花园,对应景点,2.0
湖山胜迹门楼,茶花园,对应景点,2.0
白云古寺,茶花园,对应景点,2.0
奎光楼,茶花园,对应景点,2.0
云泉仙馆,茶花园,对应景点,2.0
象林塔,茶花园,对应景点,2.0
小云亭,茶花园,对应景点,2.0
枕流亭,茶花园,对应景点,2.0
光分亭,茶花园,对应景点,2.0
西樵山天湖,天湖公园,对应景点,2.0
枕流亭,天湖公园,对应景点,2.0
小云亭,天湖公园,对应景点,2.0
云泉仙馆,天湖公园,对应景点,2.0
湖山胜迹门楼,天湖公园,对应景点,2.0
崔氏大宗祠,沙头文体公园,对应景点,2.0
广式家具制作技艺,夏南二荷花广场,对应景点,2.0
广式家具制作技艺,夏南二公园,对应景点,2.0
西樵镇,树蛙攀岩公园,对应景点,2.0
沙口圩,沙口公园,对应景点,2.0
破排角遗址,沙口公园,对应景点,2.0
恒德徐公祠,八甲公园,对应景点,2.0
佛鹤狮头制作,东华娱乐公园,对应景点,2.0
慈悲宫牌坊,探花公园,对应景点,2.0
大伸市,探花公园,对应景点,2.0
华岳心意六合八法拳,探花公园,对应景点,2.0
三元桥,红棉公园,对应景点,2.0
九江圩,红棉公园,对应景点,2.0
九江吴家大院,红棉公园,对应景点,2.0
红棉公园民国建筑群,红棉公园,对应景点,2.0
大头佛,红棉公园,对应景点,2.0
"平洲传统玉器
制作技艺",党建公园,对应景点,2.0
大谷市,太清宫,对应景点,2.0
九江吴家大院,吴家大院,对应景点,2.0
大头佛,吴家大院,对应景点,2.0
三元桥,吴家大院,对应景点,2.0
奎光楼,西樵山-听音湖,对应景点,2.0
白云古寺,西樵山-听音湖,对应景点,2.0
字祖庙,西樵山-听音湖,对应景点,2.0
白云洞摩崖石刻,西樵山-听音湖,对应景点,2.0
第弌洞天牌坊,西樵山-听音湖,对应景点,2.0
湖山胜迹门楼,西樵山-听音湖,对应景点,2.0
象林塔,西樵山-听音湖,对应景点,2.0
云泉仙馆,西樵山-听音湖,对应景点,2.0
小云亭,西樵山-听音湖,对应景点,2.0
光分亭,白云洞风景区,对应景点,2.0
象林塔,白云洞风景区,对应景点,2.0
奎光楼,白云洞风景区,对应景点,2.0
白云古寺,白云洞风景区,对应景点,2.0
字祖庙,白云洞风景区,对应景点,2.0
第弌洞天牌坊,白云洞风景区,对应景点,2.0
白云洞摩崖石刻,白云洞风景区,对应景点,2.0
枕流亭,白云洞风景区,对应景点,2.0
湖山胜迹门楼,白云洞风景区,对应景点,2.0
云泉仙馆,白云洞风景区,对应景点,2.0
小云亭,白云洞风景区,对应景点,2.0
南海农谚,西樵山风景名胜区,对应景点,2.0
西樵山无叶井,西樵山南海观音,对应景点,2.0
敦义崇礼碉楼,西樵山南海观音,对应景点,2.0
傅老榕旧居,西樵山南海观音,对应景点,2.0
宝峰胜处摩崖石刻,西樵山南海观音,对应景点,2.0
翠岩摩崖石刻,西樵山南海观音,对应景点,2.0
佛鹤狮头制作,孙氏宗祠,对应景点,2.0
大桐圩,西樵戴氏大宗祠,对应景点,2.0
南海醒狮（采青技艺）,何氏宗祠,对应景点,2.0
字祖庙,西樵山风景名胜区-观音庙,对应景点,2.0
白云古寺,西樵山风景名胜区-观音庙,对应景点,2.0
第弌洞天牌坊,西樵山风景名胜区-观音庙,对应景点,2.0
奎光楼,西樵山风景名胜区-观音庙,对应景点,2.0
白云洞摩崖石刻,西樵山风景名胜区-观音庙,对应景点,2.0
象林塔,西樵山风景名胜区-观音庙,对应景点,2.0
湖山胜迹门楼,西樵山风景名胜区-观音庙,对应景点,2.0
云泉仙馆,西樵山风景名胜区-观音庙,对应景点,2.0
枕流亭,西樵山风景名胜区-观音庙,对应景点,2.0
小云亭,西樵山风景名胜区-观音庙,对应景点,2.0
光分亭,西樵山风景名胜区-观音庙,对应景点,2.0
太平圩,李氏宗祠(太平圩),对应景点,2.0
百西潘氏大宗祠,村头村潘氏大宗祠,对应景点,2.0
西樵镇百西村,村头村潘氏大宗祠,对应景点,2.0
吉水窦,佛子庙,对应景点,2.0
罗行圩,基督教罗行堂,对应景点,2.0
李卓峰墓,天主堂,对应景点,2.0
广式家具制作技艺,和光合堂,对应景点,2.0
九江吴家大院,九江侨乡博物馆,对应景点,2.0
大头佛,九江侨乡博物馆,对应景点,2.0
三元桥,九江侨乡博物馆,对应景点,2.0
庙会（大仙诞庙会）,佛山活体昆虫博物馆,对应景点,2.0
西樵山传说,佛山活体昆虫博物馆,对应景点,2.0
绮亭陈公祠,佛山活体昆虫博物馆,对应景点,2.0
西樵白眉武术,佛山活体昆虫博物馆,对应景点,2.0
康有为故居,康有为博物馆,对应景点,2.0
九江吴家大院,卓弘艺术空间,对应景点,2.0
三元桥,卓弘艺术空间,对应景点,2.0
松塘汇川家塾,佛山市南海区福厚博物馆,对应景点,2.0
松塘见五大夫祠,佛山市南海区福厚博物馆,对应景点,2.0
区梦觉故居,佛山市南海区福厚博物馆,对应景点,2.0
松塘六世祖祠,佛山市南海区福厚博物馆,对应景点,2.0
松塘区氏宗祠,佛山市南海区福厚博物馆,对应景点,2.0
松塘司马第,佛山市南海区福厚博物馆,对应景点,2.0
松塘太史第,佛山市南海区福厚博物馆,对应景点,2.0
沙基圩,佛山市南海区福厚博物馆,对应景点,2.0
松塘村“出色”巡游,佛山市南海区福厚博物馆,对应景点,2.0
松塘村孔子诞,佛山市南海区福厚博物馆,对应景点,2.0
松塘翘秀园,佛山市南海区福厚博物馆,对应景点,2.0
松塘甘井,佛山市南海区福厚博物馆,对应景点,2.0
松塘培元书舍,佛山市南海区福厚博物馆,对应景点,2.0
赛龙舟（九江传统龙舟）,玄憬龙博物馆(暂停开放),对应景点,2.0
九江传统鱼花技艺,玄憬龙博物馆(暂停开放),对应景点,2.0
周家拳,玄憬龙博物馆(暂停开放),对应景点,2.0
九江煎堆制作技艺,玄憬龙博物馆(暂停开放),对应景点,2.0
富贤遗址,南山艺术馆,对应景点,2.0
罗行圩,南海区丹灶镇罗行村史馆,对应景点,2.0
阴骘井,仙岗村村史馆,对应景点,2.0
仙迹丹泉,仙岗村村史馆,对应景点,2.0
仙岗市,仙岗村村史馆,对应景点,2.0
仙岗村古井(蟹泉仙井),仙岗村村史馆,对应景点,2.0
九江圩,儒林历史文化陈列馆,对应景点,2.0
红棉公园民国建筑群,儒林历史文化陈列馆,对应景点,2.0
三元桥,儒林历史文化陈列馆,对应景点,2.0
贞烈牌坊,康有为书法艺术院,对应景点,2.0
通心岗遗址,良登村史馆,对应景点,2.0
绮亭陈公祠,简村社区村史馆,对应景点,2.0
庙会（大仙诞庙会）,简村社区村史馆,对应景点,2.0
西樵白眉武术,简村社区村史馆,对应景点,2.0
西樵山传说,简村社区村史馆,对应景点,2.0
光分亭,樵山文化中心,对应景点,2.0
象林塔,樵山文化中心,对应景点,2.0
奎光楼,樵山文化中心,对应景点,2.0
白云古寺,樵山文化中心,对应景点,2.0
字祖庙,樵山文化中心,对应景点,2.0
第弌洞天牌坊,樵山文化中心,对应景点,2.0
阴骘井,陈洲亲子美术馆,对应景点,2.0
仙迹丹泉,陈洲亲子美术馆,对应景点,2.0
仙岗市,陈洲亲子美术馆,对应景点,2.0
仙岗村古井(蟹泉仙井),陈洲亲子美术馆,对应景点,2.0
罗行圩,读书驿站(丹灶目闻阅野集站),对应景点,2.0
铁屎墩冶炼遗址,读书驿站(西樵百西社区站),对应景点,2.0
西樵镇百西村,读书驿站(西樵百西社区站),对应景点,2.0
鱿鱼岗遗址,读书驿站(西樵百西社区站),对应景点,2.0
龙舟说唱（南海）,广东环境保护工程职业学院图书馆,对应景点,2.0
赤坎盲公话,广东环境保护工程职业学院图书馆,对应景点,2.0
烧番塔(仙岗),广东环境保护工程职业学院图书馆,对应景点,2.0
大桐圩,读书驿站(西樵七星站),对应景点,2.0
九江吴家大院,九江自助图书馆(儒林东路)(暂停营业),对应景点,2.0
大头佛,九江自助图书馆(儒林东路)(暂停营业),对应景点,2.0
三元桥,九江自助图书馆(儒林东路)(暂停营业),对应景点,2.0
西樵镇,读书驿站(西樵登山大道站),对应景点,2.0
三元桥,读书驿站(九江儒林社区站),对应景点,2.0
九江吴家大院,读书驿站(九江儒林社区站),对应景点,2.0
九江圩,读书驿站(九江儒林社区站),对应景点,2.0
红棉公园民国建筑群,读书驿站(九江儒林社区站),对应景点,2.0
民乐市,读书驿站(西樵樵乐社区站),对应景点,2.0
民乐圩市建筑群/民乐窦,读书驿站(西樵樵乐社区站),对应景点,2.0
大头佛（民乐大头佛）,读书驿站(西樵樵乐社区站),对应景点,2.0
冯夏威墓,读书驿站(西樵文化中心站)(暂停营业),对应景点,2.0
官山圩,读书驿站(西樵文化中心站)(暂停营业),对应景点,2.0
龙母庙,读书驿站(西樵文化中心站)(暂停营业),对应景点,2.0
三元桥,读书驿站(九江中心小学站),对应景点,2.0
李卓峰墓,读书驿站(九江中心小学站),对应景点,2.0
火石迳遗址,读书驿站(西樵樵晖新城站),对应景点,2.0
三元桥,佛山九江小牛顿科学馆(渔具路),对应景点,2.0
九江吴家大院,佛山九江小牛顿科学馆(渔具路),对应景点,2.0
赤坎盲公话,广东环境保护工程职业学院,对应景点,2.0
丹灶葛洪炼丹传说,广东环境保护工程职业学院,对应景点,2.0
烧番塔(仙岗),广东环境保护工程职业学院,对应景点,2.0
龙舟说唱（南海）,广东环境保护工程职业学院,对应景点,2.0
西联村神诞,广东环境保护工程职业学院,对应景点,2.0
传统龙舟（丹灶扒龙舟）,广东环境保护工程职业学院,对应景点,2.0
丹灶镇仙岗村,南海实验学校,对应景点,2.0
仙岗市,南海实验学校,对应景点,2.0
上东岑局楼,九江上东小学,对应景点,2.0
岑局楼,九江上东小学,对应景点,2.0
官山圩,南海农商银行(西樵支行),对应景点,2.0
冯夏威墓,南海农商银行(西樵支行),对应景点,2.0
龙母庙,南海农商银行(西樵支行),对应景点,2.0
西樵山天湖,西樵山森吧飞越树上探险乐园,对应景点,2.0
禄舟万寿堂,黄飞鸿狮艺武术馆,对应景点,2.0
锦岩遗址,西樵山桃花源农家乐,对应景点,2.0
李子长墓,西樵山桃花源农家乐,对应景点,2.0
霍韬夫人墓,西樵山桃花源农家乐,对应景点,2.0
四峰书院遗址,西樵山桃花源农家乐,对应景点,2.0
唢呐制作技艺,煲仔正·老广州煲仔饭(佛山金铂中心店),对应景点,2.0
烟桥何氏大宗祠,烟南古村,对应景点,2.0
烟桥村古桥,烟南古村,对应景点,2.0
西樵山百步云梯,西樵镇-醒狮之乡,对应景点,2.0
冯夏威墓,西樵镇-醒狮之乡,对应景点,2.0
西樵山抗日阵亡将士暨死难同胞纪念碑,西樵镇-醒狮之乡,对应景点,2.0
官山圩,西樵镇-醒狮之乡,对应景点,2.0
烟桥何氏大宗祠,烟桥古村,对应景点,2.0
烟桥村古桥,烟桥古村,对应景点,2.0
大谷市,大谷余氏宗祠,对应景点,2.0
傅氏宗祠,傅氏宗祠,对应景点,2.0
傅氏山庄南门,傅氏宗祠,对应景点,2.0
敦义崇礼碉楼,傅氏宗祠,对应景点,2.0
傅老榕旧居,傅氏宗祠,对应景点,2.0
西樵山无叶井,傅氏宗祠,对应景点,2.0
宝峰胜处摩崖石刻,傅氏宗祠,对应景点,2.0
翠岩摩崖石刻,傅氏宗祠,对应景点,2.0
烟桥村古桥,烟南南水村吴氏宗祠,对应景点,2.0
烟桥何氏大宗祠,烟南南水村吴氏宗祠,对应景点,2.0
东联吴氏大宗祠,吴氏宗祠,对应景点,2.0
九江煎堆制作技艺,九江镇新龙村关氏宗祠,对应景点,2.0
赛龙舟（九江传统龙舟）,九江镇新龙村关氏宗祠,对应景点,2.0
九江传统鱼花技艺,九江镇新龙村关氏宗祠,对应景点,2.0
周家拳,九江镇新龙村关氏宗祠,对应景点,2.0
西樵山蟹眼泉,西樵山宝峰寺,对应景点,2.0
宝峰胜处摩崖石刻,西樵山宝峰寺,对应景点,2.0
翠岩摩崖石刻,西樵山宝峰寺,对应景点,2.0
西樵山无叶井,西樵山宝峰寺,对应景点,2.0
敦义崇礼碉楼,西樵山宝峰寺,对应景点,2.0
傅老榕旧居,西樵山宝峰寺,对应景点,2.0
唢呐制作技艺,石肯华光庙,对应景点,2.0
祖盛徐公祠,狮山镇,位于,1.0
大谷天后宫,九江镇,位于,1.0
宝莲寺,西樵镇,位于,1.0
石碣朗枝岗健身公园,大沥镇,位于,1.0
迎宾广场,西樵镇,位于,1.0
河滨公园,西樵镇,位于,1.0
西樵山风景名胜区-樵园公园,西樵镇,位于,1.0
茶花园,西樵镇,位于,1.0
天湖公园,西樵镇,位于,1.0
沙头文体公园,丹灶镇,位于,1.0
夏南二荷花广场,桂城街道,位于,1.0
夏南二公园,桂城街道,位于,1.0
树蛙攀岩公园,西樵镇,位于,1.0
沙口公园,九江镇,位于,1.0
八甲公园,丹灶镇,位于,1.0
东华娱乐公园,大沥镇,位于,1.0
探花公园,九江镇,位于,1.0
红棉公园,丹灶镇,位于,1.0
党建公园,桂城街道,位于,1.0
太清宫,九江镇,位于,1.0
吴家大院,九江镇,位于,1.0
西樵山-听音湖,西樵镇,位于,1.0
白云洞风景区,西樵镇,位于,1.0
西樵山风景名胜区,西樵镇,位于,1.0
西樵山南海观音,西樵镇,位于,1.0
孙氏宗祠,狮山镇,位于,1.0
西樵戴氏大宗祠,西樵镇,位于,1.0
何氏宗祠,西樵镇,位于,1.0
西樵山风景名胜区-观音庙,西樵镇,位于,1.0
李氏宗祠(太平圩),西樵镇,位于,1.0
村头村潘氏大宗祠,丹灶镇,位于,1.0
佛子庙,西樵镇,位于,1.0
基督教罗行堂,丹灶镇,位于,1.0
天主堂,丹灶镇,位于,1.0
和光合堂,桂城街道,位于,1.0
九江侨乡博物馆,九江镇,位于,1.0
佛山活体昆虫博物馆,西樵镇,位于,1.0
康有为博物馆,丹灶镇,位于,1.0
卓弘艺术空间,丹灶镇,位于,1.0
佛山市南海区福厚博物馆,丹灶镇,位于,1.0
玄憬龙博物馆(暂停开放),九江镇,位于,1.0
南山艺术馆,西樵镇,位于,1.0
南海区丹灶镇罗行村史馆,丹灶镇,位于,1.0
仙岗村村史馆,丹灶镇,位于,1.0
儒林历史文化陈列馆,丹灶镇,位于,1.0
康有为书法艺术院,丹灶镇,位于,1.0
良登村史馆,丹灶镇,位于,1.0
简村社区村史馆,狮山镇,位于,1.0
樵山文化中心,西樵镇,位于,1.0
陈洲亲子美术馆,丹灶镇,位于,1.0
读书驿站(丹灶目闻阅野集站),丹灶镇,位于,1.0
读书驿站(西樵百西社区站),西樵镇,位于,1.0
广东环境保护工程职业学院图书馆,丹灶镇,位于,1.0
读书驿站(西樵七星站),西樵镇,位于,1.0
九江自助图书馆(儒林东路)(暂停营业),九江镇,位于,1.0
读书驿站(西樵登山大道站),西樵镇,位于,1.0
读书驿站(九江儒林社区站),九江镇,位于,1.0
读书驿站(西樵樵乐社区站),西樵镇,位于,1.0
读书驿站(西樵文化中心站)(暂停营业),西樵镇,位于,1.0
读书驿站(九江中心小学站),九江镇,位于,1.0
读书驿站(西樵樵晖新城站),西樵镇,位于,1.0
佛山九江小牛顿科学馆(渔具路),九江镇,位于,1.0
广东环境保护工程职业学院,丹灶镇,位于,1.0
南海实验学校,丹灶镇,位于,1.0
九江上东小学,九江镇,位于,1.0
南海农商银行(西樵支行),西樵镇,位于,1.0
西樵山森吧飞越树上探险乐园,西樵镇,位于,1.0
黄飞鸿狮艺武术馆,西樵镇,位于,1.0
西樵山桃花源农家乐,西樵镇,位于,1.0
煲仔正·老广州煲仔饭(佛山金铂中心店),桂城街道,位于,1.0
烟南古村,西樵镇,位于,1.0
西樵镇-醒狮之乡,西樵镇,位于,1.0
烟桥古村,九江镇,位于,1.0
大谷余氏宗祠,丹灶镇,位于,1.0
傅氏宗祠,丹灶镇,位于,1.0
烟南南水村吴氏宗祠,西樵镇,位于,1.0
吴氏宗祠,狮山镇,位于,1.0
九江镇新龙村关氏宗祠,九江镇,位于,1.0
西樵山宝峰寺,西樵镇,位于,1.0
石肯华光庙,桂城街道,位于,1.0
五斗水闸牌坊,桂城街道,位于,1.0
银坑村祠堂(乡约),西樵镇,位于,1.0
拱北公园,里水镇,位于,1.0
恒大御景半岛钟楼,里水镇,位于,1.0
大德社区活动公园,桂城街道,位于,1.0
马大将军庙,桂城街道,位于,1.0
真成周公祠,里水镇,位于,1.0
基督教里水堂,里水镇,位于,1.0
大沥公园,大沥镇,位于,1.0
胡氏宗祠,里水镇,位于,1.0
罗城三眼井,里水镇,位于,1.0
慕道马公祠,里水镇,位于,1.0
寨边五队李氏宗祠,狮山镇,位于,1.0
潘氏宗祠,里水镇,位于,1.0
茶基三圣宫,桂城街道,位于,1.0
芦溪公园,狮山镇,位于,1.0
观音古庙,西樵镇,位于,1.0
和桂文化广场,里水镇,位于,1.0
刘氏宗祠,大沥镇,位于,1.0
大藤水岸公园,狮山镇,位于,1.0
南海,南海县,共现关联,3.0
佛山,佛山市,共现关联,3.0
佛山,南海,共现关联,3.0
