id,name,type,layer,intro,weight
ANC_0001,云泉仙馆,不可移动文物,anchor,【不可移动文物】云泉仙馆，清乾隆丁酉年（1777），省级文物保护单位，位于西樵镇。,80
ANC_0002,绮亭陈公祠,不可移动文物,anchor,【不可移动文物】绮亭陈公祠，清光绪十三年（1887），省级文物保护单位，位于nan。,80
ANC_0003,象林塔,不可移动文物,anchor,【不可移动文物】象林塔，清康熙五年（1666年），省级文物保护单位，位于nan。,80
ANC_0004,西樵山采石场遗址,不可移动文物,anchor,【不可移动文物】西樵山采石场遗址，明-清，全国重点文物保护单位，位于nan。,80
ANC_0005,鱿鱼岗遗址,不可移动文物,anchor,【不可移动文物】鱿鱼岗遗址，新石器时代晚期-夏商，省级文物保护单位，位于nan。,80
ANC_0006,南蛇岗遗址,不可移动文物,anchor,【不可移动文物】南蛇岗遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0007,富贤遗址,不可移动文物,anchor,【不可移动文物】富贤遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0008,佛子庙镇头遗址,不可移动文物,anchor,【不可移动文物】佛子庙镇头遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0009,火石迳遗址,不可移动文物,anchor,【不可移动文物】火石迳遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0010,锦岩遗址,不可移动文物,anchor,【不可移动文物】锦岩遗址，新石器时代，省级文物保护单位，位于nan。,80
ANC_0011,四峰书院遗址,不可移动文物,anchor,【不可移动文物】四峰书院遗址，明嘉靖癸未年（1523），省级文物保护单位，位于nan。,80
ANC_0012,霍韬夫人墓,不可移动文物,anchor,【不可移动文物】霍韬夫人墓，明，省级文物保护单位，位于nan。,80
ANC_0013,宝峰胜处摩崖石刻,不可移动文物,anchor,【不可移动文物】宝峰胜处摩崖石刻，明，省级文物保护单位，位于nan。,80
ANC_0014,奎光楼,不可移动文物,anchor,【不可移动文物】奎光楼，清乾隆四十二年（1777），市级文物保护单位，位于nan。,80
ANC_0015,白云古寺,不可移动文物,anchor,【不可移动文物】白云古寺，清乾隆四十九年（1784），市级文物保护单位，位于nan。,80
ANC_0016,字祖庙,不可移动文物,anchor,【不可移动文物】字祖庙，清乾隆四十二年（1777），市级文物保护单位，位于nan。,80
ANC_0017,龙母庙,不可移动文物,anchor,【不可移动文物】龙母庙，中华民国二十七年（1938），市级文物保护单位，位于nan。,80
ANC_0018,傅氏宗祠,不可移动文物,anchor,【不可移动文物】傅氏宗祠，中华民国二十一年（1932），市级文物保护单位，位于nan。,80
ANC_0019,傅氏山庄南门,不可移动文物,anchor,【不可移动文物】傅氏山庄南门，中华民国二十一年（1932），市级文物保护单位，位于nan。,80
ANC_0020,敦义崇礼碉楼,不可移动文物,anchor,【不可移动文物】敦义崇礼碉楼，中华民国二十三年(1934年)，市级文物保护单位，位于nan。,80
ANC_0021,傅老榕旧居,不可移动文物,anchor,【不可移动文物】傅老榕旧居，中华民国21年（1932），市级文物保护单位，位于nan。,80
ANC_0022,松塘世大夫家庙,不可移动文物,anchor,【不可移动文物】松塘世大夫家庙，清，市级文物保护单位，位于nan。,80
ANC_0023,松塘东山祖祠,不可移动文物,anchor,【不可移动文物】松塘东山祖祠，清，市级文物保护单位，位于nan。,80
ANC_0024,松塘汇川家塾,不可移动文物,anchor,【不可移动文物】松塘汇川家塾，清，市级文物保护单位，位于nan。,80
ANC_0025,松塘见五大夫祠,不可移动文物,anchor,【不可移动文物】松塘见五大夫祠，清光绪七年（1881），市级文物保护单位，位于nan。,80
ANC_0026,松塘六世祖祠,不可移动文物,anchor,【不可移动文物】松塘六世祖祠，清，市级文物保护单位，位于nan。,80
ANC_0027,松塘区氏宗祠,不可移动文物,anchor,【不可移动文物】松塘区氏宗祠，清宣统二年（1909），市级文物保护单位，位于nan。,80
ANC_0028,松塘司马第,不可移动文物,anchor,【不可移动文物】松塘司马第，晚清，市级文物保护单位，位于nan。,80
ANC_0029,松塘甘井,不可移动文物,anchor,【不可移动文物】松塘甘井，宋，市级文物保护单位，位于nan。,80
ANC_0030,松塘塘西六世祖祠,不可移动文物,anchor,【不可移动文物】松塘塘西六世祖祠，清光绪乙未年（1895），市级文物保护单位，位于nan。,80
ANC_0031,松塘培元书舍,不可移动文物,anchor,【不可移动文物】松塘培元书舍，清，市级文物保护单位，位于nan。,80
ANC_0032,松塘太史第,不可移动文物,anchor,【不可移动文物】松塘太史第，清，市级文物保护单位，位于nan。,80
ANC_0033,松塘翘秀园,不可移动文物,anchor,【不可移动文物】松塘翘秀园，清，市级文物保护单位，位于nan。,80
ANC_0034,区梦觉故居,不可移动文物,anchor,【不可移动文物】区梦觉故居，1906年，市级文物保护单位，位于nan。,80
ANC_0035,西樵山紫姑井,不可移动文物,anchor,【不可移动文物】西樵山紫姑井，唐，市级文物保护单位，位于nan。,80
ANC_0036,西樵山仙姑亭,不可移动文物,anchor,【不可移动文物】西樵山仙姑亭，清光绪戊戌年（1898），市级文物保护单位，位于nan。,80
ANC_0037,西樵山蟹眼泉,不可移动文物,anchor,【不可移动文物】西樵山蟹眼泉，清，市级文物保护单位，位于nan。,80
ANC_0038,西樵山无叶井,不可移动文物,anchor,【不可移动文物】西樵山无叶井，明清，市级文物保护单位，位于nan。,80
ANC_0039,西樵山百步云梯,不可移动文物,anchor,【不可移动文物】西樵山百步云梯，明正德十二年（1517），市级文物保护单位，位于nan。,80
ANC_0040,禄舟万寿堂,不可移动文物,anchor,【不可移动文物】禄舟万寿堂，清乾隆四十九年（1784），市级文物保护单位，位于nan。,80
ANC_0041,百西潘氏大宗祠,不可移动文物,anchor,【不可移动文物】百西潘氏大宗祠，清乾隆二十六年（1762），市级文物保护单位，位于nan。,80
ANC_0042,湖山胜迹门楼,不可移动文物,anchor,【不可移动文物】湖山胜迹门楼，清咸丰三年（1853），市级文物保护单位，位于nan。,80
ANC_0043,小云亭,不可移动文物,anchor,【不可移动文物】小云亭，清咸丰八年（1858），市级文物保护单位，位于nan。,80
ANC_0044,光分亭,不可移动文物,anchor,【不可移动文物】光分亭，清道光二十八年（1848），市级文物保护单位，位于nan。,80
ANC_0045,枕流亭,不可移动文物,anchor,【不可移动文物】枕流亭，清乾隆乙酉年（1789），市级文物保护单位，位于nan。,80
ANC_0046,吉水窦,不可移动文物,anchor,【不可移动文物】吉水窦，清光绪甲午年（1894），市级文物保护单位，位于nan。,80
ANC_0047,第弌洞天牌坊,不可移动文物,anchor,【不可移动文物】第弌洞天牌坊，清乾隆年间（1736-1796），市级文物保护单位，位于nan。,80
ANC_0048,铁屎墩冶炼遗址,不可移动文物,anchor,【不可移动文物】铁屎墩冶炼遗址，清，市级文物保护单位，位于nan。,80
ANC_0049,李子长墓,不可移动文物,anchor,【不可移动文物】李子长墓，明嘉靖五年（1526），市级文物保护单位，位于nan。,80
ANC_0050,大科峰摩崖石刻,不可移动文物,anchor,【不可移动文物】大科峰摩崖石刻，清，市级文物保护单位，位于nan。,80
ANC_0051,玉廪峰摩崖石刻,不可移动文物,anchor,【不可移动文物】玉廪峰摩崖石刻，明嘉靖丙午年（1546），市级文物保护单位，位于nan。,80
ANC_0052,翠岩摩崖石刻,不可移动文物,anchor,【不可移动文物】翠岩摩崖石刻，清，市级文物保护单位，位于nan。,80
ANC_0053,白云洞摩崖石刻,不可移动文物,anchor,【不可移动文物】白云洞摩崖石刻，明—中华人民共和国，市级文物保护单位，位于nan。,80
ANC_0054,九龙岩摩崖石刻,不可移动文物,anchor,【不可移动文物】九龙岩摩崖石刻，明正德丁丑（1517），市级文物保护单位，位于nan。,80
ANC_0055,冯夏威墓,不可移动文物,anchor,【不可移动文物】冯夏威墓，1905年，市级文物保护单位，位于nan。,80
ANC_0056,西樵山抗日阵亡将士暨死难同胞纪念碑,不可移动文物,anchor,【不可移动文物】西樵山抗日阵亡将士暨死难同胞纪念碑，1947年，市级文物保护单位，位于nan。,80
ANC_0057,康有为故居,不可移动文物,anchor,【不可移动文物】康有为故居，1858－1927，全国重点文物保护单位，位于丹灶镇。,80
ANC_0058,方献夫墓,不可移动文物,anchor,【不可移动文物】方献夫墓，明，省级文物保护单位，位于nan。,80
ANC_0059,仙迹丹泉,不可移动文物,anchor,【不可移动文物】仙迹丹泉，晋，省级文物保护单位，位于nan。,80
ANC_0060,南沙陈氏宗祠,不可移动文物,anchor,【不可移动文物】南沙陈氏宗祠，清乾隆三十九年（1774），市级文物保护单位，位于nan。,80
ANC_0061,沙水翰林步头,不可移动文物,anchor,【不可移动文物】沙水翰林步头，清，市级文物保护单位，位于nan。,80
ANC_0062,阴骘井,不可移动文物,anchor,【不可移动文物】阴骘井，宋，市级文物保护单位，位于nan。,80
ANC_0063,贞烈牌坊,不可移动文物,anchor,【不可移动文物】贞烈牌坊，清康熙年间（1662-1723），市级文物保护单位，位于nan。,80
ANC_0064,东联吴氏大宗祠,不可移动文物,anchor,【不可移动文物】东联吴氏大宗祠，清，市级文物保护单位，位于nan。,80
ANC_0065,恒德徐公祠,不可移动文物,anchor,【不可移动文物】恒德徐公祠，清光绪壬午年（1882），市级文物保护单位，位于nan。,80
ANC_0066,通心岗遗址,不可移动文物,anchor,【不可移动文物】通心岗遗址，新石器时代，市级文物保护单位，位于nan。,80
ANC_0067,方道隆墓,不可移动文物,anchor,【不可移动文物】方道隆墓，元，市级文物保护单位，位于nan。,80
ANC_0068,崔氏大宗祠,不可移动文物,anchor,【不可移动文物】崔氏大宗祠，明嘉靖四十四年（1565），省级文物保护单位，位于九江镇。,80
ANC_0069,九江吴家大院,不可移动文物,anchor,【不可移动文物】九江吴家大院，中华民国，省级文物保护单位，位于nan。,80
ANC_0070,良二千石牌坊,不可移动文物,anchor,【不可移动文物】良二千石牌坊，明万历二十六年（1598），省级文物保护单位，位于nan。,80
ANC_0071,慈悲宫牌坊,不可移动文物,anchor,【不可移动文物】慈悲宫牌坊，明万历年间，省级文物保护单位，位于nan。,80
ANC_0072,烟桥何氏大宗祠,不可移动文物,anchor,【不可移动文物】烟桥何氏大宗祠，清嘉庆十九年（1814），省级文物保护单位，位于nan。,80
ANC_0073,上东岑局楼,不可移动文物,anchor,【不可移动文物】上东岑局楼，中华民国二十一年（1932），市级文物保护单位，位于nan。,80
ANC_0074,探花桥,不可移动文物,anchor,【不可移动文物】探花桥，明-清，市级文物保护单位，位于nan。,80
ANC_0075,魁星塔,不可移动文物,anchor,【不可移动文物】魁星塔，清嘉庆五年（1800），市级文物保护单位，位于nan。,80
ANC_0076,三元桥,不可移动文物,anchor,【不可移动文物】三元桥，清道光年间（1821-1851），市级文物保护单位，位于nan。,80
ANC_0077,破排角遗址,不可移动文物,anchor,【不可移动文物】破排角遗址，南宋，市级文物保护单位，位于nan。,80
ANC_0078,冯氏家族墓,不可移动文物,anchor,【不可移动文物】冯氏家族墓，宋，市级文物保护单位，位于nan。,80
ANC_0079,朱子襄墓,不可移动文物,anchor,【不可移动文物】朱子襄墓，清光绪八年（1882），市级文物保护单位，位于nan。,80
ANC_0080,李卓峰墓,不可移动文物,anchor,【不可移动文物】李卓峰墓，1926年，市级文物保护单位，位于nan。,80
ANC_0081,九江双蒸酒酿制技艺,非遗项目,anchor,【非遗项目】九江双蒸酒酿制技艺，省级，位于九江镇。,80
ANC_0082,金箔锻造技艺,非遗项目,anchor,【非遗项目】金箔锻造技艺，省级，位于狮山镇。,80
ANC_0083,九江煎堆制作技艺,非遗项目,anchor,【非遗项目】九江煎堆制作技艺，省级，位于九江镇。,80
ANC_0084,西樵传统缫丝技艺,非遗项目,anchor,【非遗项目】西樵传统缫丝技艺，市级，位于西樵镇。,80
ANC_0085,南海竹编,非遗项目,anchor,【非遗项目】南海竹编，市级，位于西樵镇。,80
ANC_0086,西樵大饼制作技艺,非遗项目,anchor,【非遗项目】西樵大饼制作技艺，市级，位于西樵镇。,80
ANC_0087,香云纱（坯纱）织造技艺,非遗项目,anchor,【非遗项目】香云纱（坯纱）织造技艺，市级，位于西樵镇。,80
ANC_0088,广式家具制作技艺,非遗项目,anchor,【非遗项目】广式家具制作技艺，市级，位于桂城街道。,80
ANC_0089,"平洲传统玉器
制作技艺",非遗项目,anchor,"【非遗项目】平洲传统玉器
制作技艺，市级，位于桂城街道。",80
ANC_0090,唢呐制作技艺,非遗项目,anchor,【非遗项目】唢呐制作技艺，市级，位于桂城街道。,80
ANC_0091,佛鹤狮头制作,非遗项目,anchor,【非遗项目】佛鹤狮头制作，区级，位于狮山镇。,80
ANC_0092,里水毛巾织造技艺,非遗项目,anchor,【非遗项目】里水毛巾织造技艺，区级，位于里水镇。,80
ANC_0093,南海醒狮（采青技艺）,非遗项目,anchor,【非遗项目】南海醒狮（采青技艺），区级，位于西樵镇。,80
ANC_0094,花灯制作技艺,非遗项目,anchor,【非遗项目】花灯制作技艺，区级，位于狮山镇。,80
ANC_0095,南海广式旺阁酱油酿造技艺,非遗项目,anchor,【非遗项目】南海广式旺阁酱油酿造技艺，区级，位于西樵镇。,80
ANC_0096,庙会（大仙诞庙会）,非遗项目,anchor,【非遗项目】庙会（大仙诞庙会），省级，位于西樵镇。,80
ANC_0097,龙舟说唱（南海）,非遗项目,anchor,【非遗项目】龙舟说唱（南海），市级，位于丹灶镇。,80
ANC_0098,烧番塔(松塘),非遗项目,anchor,【非遗项目】烧番塔(松塘)，市级，位于西樵镇。,80
ANC_0099,南海农谚,非遗项目,anchor,【非遗项目】南海农谚，区级，位于西樵镇。,80
ANC_0100,西樵山传说,非遗项目,anchor,【非遗项目】西樵山传说，区级，位于西樵镇。,80
ANC_0101,简村北帝庙会,非遗项目,anchor,【非遗项目】简村北帝庙会，区级，位于西樵镇。,80
ANC_0102,松塘村孔子诞,非遗项目,anchor,【非遗项目】松塘村孔子诞，区级，位于西樵镇。,80
ANC_0103,松塘村“出色”巡游,非遗项目,anchor,【非遗项目】松塘村“出色”巡游，区级，位于西樵镇。,80
ANC_0104,大头佛（民乐大头佛）,非遗项目,anchor,【非遗项目】大头佛（民乐大头佛），区级，位于西樵镇。,80
ANC_0105,西樵白眉武术,非遗项目,anchor,【非遗项目】西樵白眉武术，区级，位于西樵镇。,80
ANC_0106,赤坎盲公话,非遗项目,anchor,【非遗项目】赤坎盲公话，区级，位于丹灶镇。,80
ANC_0107,西联村神诞,非遗项目,anchor,【非遗项目】西联村神诞，区级，位于丹灶镇。,80
ANC_0108,传统龙舟（丹灶扒龙舟）,非遗项目,anchor,【非遗项目】传统龙舟（丹灶扒龙舟），区级，位于丹灶镇。,80
ANC_0109,丹灶葛洪炼丹传说,非遗项目,anchor,【非遗项目】丹灶葛洪炼丹传说，市级，位于丹灶镇。,80
ANC_0110,烧番塔(仙岗),非遗项目,anchor,【非遗项目】烧番塔(仙岗)，市级，位于丹灶镇。,80
ANC_0111,大头佛,非遗项目,anchor,【非遗项目】大头佛，市级，位于九江镇。,80
ANC_0112,赛龙舟（九江传统龙舟）,非遗项目,anchor,【非遗项目】赛龙舟（九江传统龙舟），省级，位于九江镇。,80
ANC_0113,九江灯谜,非遗项目,anchor,【非遗项目】九江灯谜，市级，位于九江镇。,80
ANC_0114,九江传统鱼花技艺,非遗项目,anchor,【非遗项目】九江传统鱼花技艺，市级，位于九江镇。,80
ANC_0115,周家拳,非遗项目,anchor,【非遗项目】周家拳，区级，位于九江镇。,80
ANC_0116,华岳心意六合八法拳,非遗项目,anchor,【非遗项目】华岳心意六合八法拳，市级，位于九江镇。,80
ANC_0117,仙岗村古井(蟹泉仙井),文化景观,anchor,【文化景观】仙岗村古井(蟹泉仙井)，位于丹灶镇。,80
ANC_0118,西城圩市建筑群,文化景观,anchor,【文化景观】西城圩市建筑群，位于丹灶镇。,80
ANC_0119,大岗民居,文化景观,anchor,【文化景观】大岗民居，位于丹灶镇。,80
ANC_0120,苏州银河,文化景观,anchor,【文化景观】苏州银河，位于丹灶镇。,80
ANC_0121,塱心码头,文化景观,anchor,【文化景观】塱心码头，位于西樵镇。,80
ANC_0122,松塘月池及古祠堂群,文化景观,anchor,【文化景观】松塘月池及古祠堂群，位于西樵镇。,80
ANC_0123,民乐圩市建筑群/民乐窦,文化景观,anchor,【文化景观】民乐圩市建筑群/民乐窦，位于西樵镇。,80
ANC_0124,西樵山天湖,文化景观,anchor,【文化景观】西樵山天湖，位于西樵镇。,80
ANC_0125,禄舟村古街巷,文化景观,anchor,【文化景观】禄舟村古街巷，位于西樵镇。,80
ANC_0126,金花庙,文化景观,anchor,【文化景观】金花庙，位于西樵镇。,80
ANC_0127,渔耕粤韵桑基鱼塘,文化景观,anchor,【文化景观】渔耕粤韵桑基鱼塘，位于西樵镇。,80
ANC_0128,朝山红楼,文化景观,anchor,【文化景观】朝山红楼，位于西樵镇。,80
ANC_0129,烟桥村古桥,文化景观,anchor,【文化景观】烟桥村古桥，位于九江镇。,80
ANC_0130,风水百足桥,文化景观,anchor,【文化景观】风水百足桥，位于九江镇。,80
ANC_0131,河清码头,文化景观,anchor,【文化景观】河清码头，位于九江镇。,80
ANC_0132,红棉公园民国建筑群,文化景观,anchor,【文化景观】红棉公园民国建筑群，位于九江镇。,80
ANC_0133,岑局楼,文化景观,anchor,【文化景观】岑局楼，位于九江镇。,80
ANC_0134,中西郑家大院,文化景观,anchor,【文化景观】中西郑家大院，位于九江镇。,80
ANC_0135,平沙岛,文化景观,anchor,【文化景观】平沙岛，位于西樵镇。,80
ANC_0136,西樵镇,历史文化名村,anchor,【历史文化名村】西樵镇，中国历史文化名镇，位于西樵镇。,80
ANC_0137,西樵镇松塘村,历史文化名村,anchor,【历史文化名村】西樵镇松塘村，国家级传统村落，位于松塘村。,80
ANC_0138,西樵镇简村村,历史文化名村,anchor,【历史文化名村】西樵镇简村村，广东省历史文化名村，位于简村村。,80
ANC_0139,西樵镇百西村头村,历史文化名村,anchor,【历史文化名村】西樵镇百西村头村，广东省历史文化名村，位于村头村。,80
ANC_0140,九江镇烟桥烟南村,历史文化名村,anchor,【历史文化名村】九江镇烟桥烟南村，国家级传统村落，位于nan。,80
ANC_0141,丹灶镇仙岗村,历史文化名村,anchor,【历史文化名村】丹灶镇仙岗村，广东省历史文化名村，位于仙岗村。,80
ANC_0142,丹灶镇南沙棋盘村,历史文化名村,anchor,【历史文化名村】丹灶镇南沙棋盘村，广东省历史文化名村，位于棋盘村。,80
ANC_0143,丹灶镇仙岗社区,历史文化名村,anchor,【历史文化名村】丹灶镇仙岗社区，国家级传统村落，位于仙岗社区。,80
ANC_0144,西樵镇百西村,历史文化名村,anchor,【历史文化名村】西樵镇百西村，省级传统村落，位于百西社区。,80
ANC_0145,丹灶镇棋盘村,历史文化名村,anchor,【历史文化名村】丹灶镇棋盘村，省级传统村落，位于nan。,80
ANC_0146,九江镇烟桥村,历史文化名村,anchor,【历史文化名村】九江镇烟桥村，省级传统村落，位于nan。,80
ANC_0147,丹灶镇和平村,历史文化名村,anchor,【历史文化名村】丹灶镇和平村，省级传统村落，位于和平村。,80
ANC_0148,横江圩,圩市街区,anchor,【圩市街区】横江圩。,80
ANC_0149,仙岗市,圩市街区,anchor,【圩市街区】仙岗市。,80
ANC_0150,西城市,圩市街区,anchor,【圩市街区】西城市。,80
ANC_0151,银河桥市,圩市街区,anchor,【圩市街区】银河桥市。,80
ANC_0152,竹径圩,圩市街区,anchor,【圩市街区】竹径圩。,80
ANC_0153,罗行圩,圩市街区,anchor,【圩市街区】罗行圩。,80
ANC_0154,大岸圩,圩市街区,anchor,【圩市街区】大岸圩。,80
ANC_0155,沙基圩,圩市街区,anchor,【圩市街区】沙基圩。,80
ANC_0156,大岗圩,圩市街区,anchor,【圩市街区】大岗圩。,80
ANC_0157,民乐市,圩市街区,anchor,【圩市街区】民乐市。,80
ANC_0158,太平圩,圩市街区,anchor,【圩市街区】太平圩。,80
ANC_0159,官山圩,圩市街区,anchor,【圩市街区】官山圩。,80
ANC_0160,大桐圩,圩市街区,anchor,【圩市街区】大桐圩。,80
ANC_0161,河清圩,圩市街区,anchor,【圩市街区】河清圩。,80
ANC_0162,大伸市,圩市街区,anchor,【圩市街区】大伸市。,80
ANC_0163,九江圩,圩市街区,anchor,【圩市街区】九江圩。,80
ANC_0164,大谷市,圩市街区,anchor,【圩市街区】大谷市。,80
ANC_0165,沙口圩,圩市街区,anchor,【圩市街区】沙口圩。,80
E0001,南海,地点,culture,【地点】在典籍中出现7092次，来自50个文本源。,111344.4
E0002,佛山,地点,culture,【地点】在典籍中出现6897次，来自44个文本源。,95868.3
E0003,广州,地点,culture,【地点】在典籍中出现3249次，来自50个文本源。,51009.3
E0004,广东,地点,culture,【地点】在典籍中出现3054次，来自51个文本源。,48864.0
E0005,先生,人物,culture,【人物】在典籍中出现2454次，来自37个文本源。,28957.2
E0006,九江,地点,culture,【地点】在典籍中出现1687次，来自33个文本源。,17882.2
E0007,康有为,人物,culture,【人物】在典籍中出现2400次，来自21个文本源。,16800.0
E0008,南海县,地点,culture,【地点】在典籍中出现1557次，来自33个文本源。,16504.2
E0009,民国,朝代,culture,【朝代】在典籍中出现1296次，来自33个文本源。,13737.6
E0010,岭南,地点,culture,【地点】在典籍中出现647次，来自27个文本源。,5693.6
E0011,光绪,朝代,culture,【朝代】在典籍中出现663次，来自26个文本源。,5635.5
E0012,年代,朝代,culture,【朝代】在典籍中出现589次，来自28个文本源。,5359.9
E0013,龙舟,文化要素,culture,【文化要素】在典籍中出现1011次，来自9个文本源。,3437.4
E0014,佛山市,地点,culture,【地点】在典籍中出现719次，来自13个文本源。,3307.4
E0015,珠江,地点,culture,【地点】在典籍中出现415次，来自22个文本源。,3029.5
E0016,粤剧,文化要素,culture,【文化要素】在典籍中出现558次，来自13个文本源。,2566.8
E0017,青年,朝代,culture,【朝代】在典籍中出现366次，来自20个文本源。,2452.2
E0018,农村,地点,culture,【地点】在典籍中出现460次，来自14个文本源。,2254.0
E0019,三年,朝代,culture,【朝代】在典籍中出现320次，来自21个文本源。,2240.0
E0020,道光,朝代,culture,【朝代】在典籍中出现480次，来自13个文本源。,2208.0
E0021,书院,建筑,culture,【建筑】在典籍中出现378次，来自17个文本源。,2192.4
E0022,西樵山,地点,culture,【地点】在典籍中出现429次，来自14个文本源。,2102.1
E0023,铁路,地点,culture,【地点】在典籍中出现631次，来自8个文本源。,1956.1
E0024,年间,朝代,culture,【朝代】在典籍中出现276次，来自21个文本源。,1932.0
E0025,一年,朝代,culture,【朝代】在典籍中出现275次，来自21个文本源。,1925.0
E0026,孙中山,地点,culture,【地点】在典籍中出现353次，来自15个文本源。,1835.6
E0027,二年,朝代,culture,【朝代】在典籍中出现293次，来自17个文本源。,1699.4
E0028,当年,朝代,culture,【朝代】在典籍中出现274次，来自18个文本源。,1671.4
E0029,现代,朝代,culture,【朝代】在典籍中出现272次，来自17个文本源。,1577.6
E0030,黄飞鸿,人物,culture,【人物】在典籍中出现824次，来自4个文本源。,1565.6
E0031,武术,文化要素,culture,【文化要素】在典籍中出现498次，来自8个文本源。,1543.8
E0032,官山,地点,culture,【地点】在典籍中出现316次，来自11个文本源。,1264.0
E0033,进士,文化要素,culture,【文化要素】在典籍中出现235次，来自15个文本源。,1222.0
E0034,同治,朝代,culture,【朝代】在典籍中出现386次，来自8个文本源。,1196.6
E0035,文艺,文化要素,culture,【文化要素】在典籍中出现518次，来自5个文本源。,1139.6
E0036,盐步,地点,culture,【地点】在典籍中出现208次，来自15个文本源。,1081.6
E0037,书画,文化要素,culture,【文化要素】在典籍中出现384次，来自7个文本源。,1075.2
E0038,城市,地点,culture,【地点】在典籍中出现275次，来自10个文本源。,1017.5
E0039,石景宜,人物,culture,【人物】在典籍中出现622次，来自3个文本源。,995.2
E0040,四年,朝代,culture,【朝代】在典籍中出现242次，来自11个文本源。,968.0
